City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,happy valley-goose bay,53.3168,-60.3315,3.17,75,100,3.09,CA,1702264846
125,luderitz,-26.6481,15.1594,16.36,71,0,7.56,NA,1702264847
126,qaqortoq,60.7167,-46.0333,-10.08,73,9,3.16,GL,1702264847
127,tolanaro,-25.0319,46.9987,26.04,89,20,5.14,MG,1702264847
128,montepuez,-13.1256,38.9997,22.62,89,95,2.35,MZ,1702264847
129,tiksi,71.6872,128.8694,-25.96,100,100,2.47,RU,1702264847
130,yellowknife,62.456,-114.3525,-11.99,98,75,8.75,CA,1702264779
131,cill airne,52.05,-9.5167,6.82,95,44,2.0,IE,1702264847
132,mount pearl,47.5166,-52.7813,-0.08,94,75,4.12,CA,1702264813
133,wailua homesteads,22.0669,-159.378,24.86,83,75,4.12,US,1702264847
134,isafjordur,66.0755,-23.124,-2.2,90,91,3.21,IS,1702264847
135,uliastay,47.7417,96.8444,-21.23,79,2,2.57,MN,1702264847
136,sept-iles,50.2001,-66.3821,3.24,98,100,3.09,CA,1702264848
137,at-bashi,41.1702,75.8106,-9.23,58,39,1.2,KG,1702264848
138,rawai,7.7797,98.3253,30.06,80,82,3.25,TH,1702264848
139,pacific grove,36.6177,-121.9166,14.12,53,0,2.57,US,1702264681
140,oroqen zizhiqi,50.5667,123.7167,-20.31,58,1,1.68,CN,1702264848
141,farasan,16.7022,42.1183,27.12,72,14,7.16,SA,1702264848
142,boguchany,58.3814,97.4531,-33.97,100,26,0.89,RU,1702264848
143,klyuchi,52.2667,79.1667,-21.99,89,16,3.03,RU,1702264848
144,hammerfest,70.6634,23.6821,-2.75,80,75,4.63,NO,1702264848
145,richfield,44.8833,-93.283,-4.04,83,100,1.54,US,1702264758
146,mount isa,-20.7333,139.5,31.87,33,7,4.63,AU,1702264848
147,ambon,-3.6954,128.1814,31.08,66,40,4.12,ID,1702264849
148,howrah,22.5892,88.3103,19.0,77,0,1.54,IN,1702264849
149,arraial do cabo,-22.9661,-42.0278,22.85,81,100,5.41,BR,1702264849
150,el burgo de osma,41.5862,-3.0652,7.8,92,100,2.4,ES,1702264849
151,blacksburg,37.2296,-80.4139,1.55,92,100,2.57,US,1702264658
152,hawaiian paradise park,19.5933,-154.9731,24.93,94,100,0.45,US,1702264849
